,AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr
0,Quant,Quant Small Cap Fund Direct Plan Growth,Equity,Very High Risk,5.0,7.21,52.99,24.68
1,Quant,Quant Infrastructure Fund Direct Growth,Equity,Very High Risk,5.0,13.54,40.54,20.56
2,ICICI,ICICI Prudential Commodities Fund Direct Growth,Equity,High Risk,,13.89,40.39,
3,Quant,Quant Tax Plan Direct Growth,Equity,Very High Risk,5.0,10.8,39.2,22.33
4,Quant,Quant Flexi Cap Fund Direct Growth,Equity,Very High Risk,,10.06,37.14,18.56
5,Quant,Quant Mid Cap Fund Direct Growth,Equity,Very High Risk,5.0,18.23,35.98,20.7
6,Bank,Bank of India Small Cap Fund Direct Growth,Equity,Very High Risk,4.0,-2.32,35.53,
7,Quant,Quant Active Fund Direct Growth,Equity,Very High Risk,,9.61,35.48,21.19
8,Canara,Canara Robeco Small Cap Fund Direct Growth,Equity,Very High Risk,5.0,3.15,35.09,
9,PGIM,PGIM India Midcap Opportunities Fund Direct Growth,Equity,Very High Risk,5.0,-1.37,32.83,17.64
10,ICICI,ICICI Prudential Technology Direct Plan Growth,Equity,Very High Risk,,-14.58,32.16,22.84
11,Quant,Quant Multi Asset Fund Direct Growth,Hybrid,Very High Risk,5.0,13.11,31.76,21.76
12,Nippon,Nippon India Small Cap Fund Direct Growth,Equity,Very High Risk,4.0,5.15,31.61,14.57
13,Quant,Quant Absolute Fund Direct Growth,Hybrid,Very High Risk,5.0,13.14,30.5,18.82
14,Tata,Tata Small Cap Fund Direct Growth,Equity,Very High Risk,3.0,8.52,30.49,
15,Edelweiss,Edelweiss Small Cap Fund Direct Growth,Equity,Very High Risk,4.0,2.29,30.45,
16,SBI,SBI Contra Direct Plan Growth,Equity,Very High Risk,5.0,13.81,30.28,13.58
17,Kotak,Kotak Small Cap Fund Direct Growth,Equity,Very High Risk,4.0,-3.05,28.7,15.4
18,Tata,Tata Digital India Fund Direct Growth,Equity,Very High Risk,,-13.64,28.68,22.91
19,Aditya,Aditya Birla Sun Life Digital India Fund Direct Growth,Equity,Very High Risk,,-12.71,28.53,21.54
20,SBI,SBI Technology Opportunities Fund Direct Growth,Equity,Very High Risk,,-4.38,28.02,22.14
21,ICICI,ICICI Prudential Smallcap Fund Direct Plan Growth,Equity,Very High Risk,4.0,5.36,27.17,13.14
22,SBI,SBI Small Cap Fund Direct Growth,Equity,Very High Risk,4.0,4.63,26.69,13.09
23,Bank,Bank of India Manufacturing & Infrastructure Direct Growth,Equity,Very High Risk,4.0,3.3,26.23,10.58
24,ICICI,ICICI Prudential Infrastructure Direct Growth,Equity,Very High Risk,4.0,24.31,26.09,12.54
25,DSP,DSP Small Cap Direct Plan Growth,Equity,Very High Risk,2.0,-1.68,26.05,10.19
26,HDFC,HDFC Small Cap Fund Direct Growth,Equity,Very High Risk,3.0,4.27,26.02,12.12
27,HSBC,HSBC Small Cap Fund Direct Growth,Equity,Very High Risk,3.0,-0.99,25.99,10.94
28,Quant,Quant Large and Mid Cap Fund Direct Growth,Equity,Very High Risk,5.0,14.59,25.91,14.6
29,HSBC,HSBC Small Cap Equity Fund Direct Growth,Equity,Very High Risk,2.0,-8.76,25.58,7.62
30,Invesco,Invesco India Smallcap Fund Direct Growth,Equity,Very High Risk,3.0,0.04,25.34,
31,Principal,Principal Global Opportunities Fund Direct Growth,Other,Very High Risk,1.0,27.05,25.29,17.49
32,DSP,DSP World Mining Fund Direct Plan Growth,Other,Very High Risk,,11.88,25.14,15.8
33,DSP,DSP Healthcare Fund Direct Growth,Equity,Very High Risk,,0.97,25.12,
34,ICICI,ICICI Prudential Value Discovery Direct Growth,Equity,Very High Risk,4.0,13.76,25.11,13.94
35,Tata,Tata Resources & Energy Fund Direct Growth,Equity,Very High Risk,,0.18,25.05,13.98
36,ICICI,ICICI Prudential India Opportunities Fund Direct Growth,Equity,Very High Risk,,17.09,25.04,
37,Axis,Axis Small Cap Fund Direct Growth,Equity,Very High Risk,5.0,2.26,25.02,18.42
38,Sundaram,Sundaram Small Cap Fund Direct Growth,Equity,Very High Risk,2.0,-1.66,24.76,7.38
39,Mirae,Mirae Asset Healthcare Fund Direct Growth,Equity,Very High Risk,,-5.34,24.75,
40,SBI,SBI Magnum Mid Cap Direct Plan Growth,Equity,Very High Risk,4.0,0.02,24.68,11.57
41,Union,Union Small Cap Fund Direct Growth,Equity,Very High Risk,3.0,-3.89,24.6,11.26
42,IDBI,IDBI Small Cap Fund Direct Growth,Equity,Very High Risk,3.0,-0.61,24.58,11.13
43,HSBC,HSBC Infrastructure Equity Fund Direct Growth,Equity,Very High Risk,1.0,9.17,24.41,3.43
